interaction_id,time_of_day,device,location
124,Evening,Mobile,Houston
125,Morning,Desktop,Los Angeles
126,Evening,Mobile,San Francisco
127,Afternoon,Desktop,Los Angeles
128,Afternoon,Mobile,New York
129,Evening,Mobile,New York
130,Morning,Mobile,Houston
131,Night,Mobile,New York
132,Morning,Mobile,San Francisco
133,Night,Mobile,Houston
134,Morning,Desktop,Chicago
135,Evening,Desktop,San Francisco
136,Night,Desktop,New York
137,Morning,Mobile,Los Angeles
138,Evening,Tablet,New York
139,Morning,Desktop,New York
140,Afternoon,Mobile,New York
141,Afternoon,Mobile,Chicago
142,Morning,Mobile,Houston
143,Evening,Tablet,Houston
144,Morning,Mobile,San Francisco
145,Evening,Mobile,Houston
146,Night,Mobile,New York
147,Afternoon,Desktop,New York
148,Night,Mobile,Chicago
149,Evening,Mobile,Chicago
150,Morning,Mobile,Chicago
151,Afternoon,Mobile,San Francisco
152,Evening,Mobile,Los Angeles
153,Evening,Mobile,Chicago
154,Afternoon,Desktop,San Francisco
155,Morning,Desktop,New York
156,Afternoon,Desktop,Los Angeles
157,Morning,Mobile,New York
158,Morning,Desktop,New York
159,Evening,Mobile,Houston
160,Morning,Mobile,New York
161,Morning,Tablet,Houston
162,Afternoon,Desktop,Houston
163,Afternoon,Mobile,Houston
164,Morning,Desktop,New York
165,Evening,Tablet,New York
166,Afternoon,Desktop,San Francisco
167,Night,Desktop,Los Angeles
168,Evening,Desktop,Los Angeles
169,Afternoon,Mobile,Los Angeles
170,Afternoon,Mobile,New York
171,Night,Desktop,Houston
172,Morning,Mobile,Houston
173,Afternoon,Mobile,San Francisco
174,Night,Mobile,Houston
175,Night,Mobile,Los Angeles
176,Afternoon,Tablet,San Francisco
177,Evening,Desktop,Chicago
178,Afternoon,Mobile,San Francisco
179,Night,Tablet,Houston
180,Afternoon,Tablet,Houston
181,Evening,Mobile,Chicago
182,Morning,Tablet,Los Angeles
183,Morning,Mobile,San Francisco
184,Afternoon,Mobile,San Francisco
185,Afternoon,Mobile,Los Angeles
186,Night,Desktop,Los Angeles
187,Evening,Mobile,Houston
188,Night,Desktop,Houston
189,Night,Desktop,Houston
190,Morning,Mobile,Houston
191,Night,Mobile,New York
192,Night,Mobile,San Francisco
193,Morning,Mobile,San Francisco
194,Morning,Desktop,Chicago
195,Evening,Mobile,Chicago
196,Evening,Mobile,New York
197,Evening,Mobile,San Francisco
198,Afternoon,Desktop,New York
199,Morning,Desktop,Chicago
200,Afternoon,Tablet,Chicago
201,Afternoon,Desktop,Los Angeles
202,Evening,Mobile,Chicago
203,Morning,Mobile,Los Angeles
204,Afternoon,Desktop,Houston
205,Night,Tablet,Los Angeles
206,Night,Mobile,Houston
207,Morning,Mobile,San Francisco
208,Afternoon,Mobile,Los Angeles
209,Evening,Desktop,New York
210,Afternoon,Mobile,Houston
211,Night,Mobile,San Francisco
212,Night,Desktop,San Francisco
213,Evening,Mobile,Houston
214,Morning,Mobile,San Francisco
215,Afternoon,Mobile,Los Angeles
216,Night,Mobile,Los Angeles
217,Afternoon,Mobile,San Francisco
218,Evening,Mobile,New York
219,Evening,Mobile,New York
220,Morning,Desktop,Houston
221,Evening,Desktop,New York
222,Morning,Mobile,Los Angeles
223,Afternoon,Mobile,New York
224,Night,Desktop,New York
225,Night,Mobile,Houston
226,Morning,Mobile,New York
227,Night,Mobile,Los Angeles
228,Morning,Desktop,Houston
229,Morning,Mobile,San Francisco
230,Afternoon,Desktop,San Francisco
231,Afternoon,Desktop,Houston
232,Evening,Tablet,Los Angeles
233,Morning,Mobile,New York
234,Afternoon,Desktop,Los Angeles
235,Morning,Mobile,Los Angeles
236,Morning,Mobile,Houston
237,Morning,Mobile,New York
238,Afternoon,Mobile,Houston
239,Morning,Desktop,New York
240,Morning,Mobile,Houston
241,Evening,Mobile,New York
242,Morning,Mobile,New York
243,Evening,Desktop,Houston
244,Morning,Mobile,Chicago
245,Evening,Desktop,Los Angeles
246,Afternoon,Desktop,Chicago
247,Afternoon,Desktop,Houston
248,Night,Mobile,Los Angeles
249,Morning,Desktop,Houston
250,Night,Mobile,Chicago
251,Night,Desktop,Los Angeles
252,Evening,Desktop,Los Angeles
253,Afternoon,Mobile,New York
254,Morning,Desktop,San Francisco
255,Morning,Mobile,Houston
256,Evening,Mobile,San Francisco
257,Night,Mobile,Houston
258,Evening,Tablet,Los Angeles
259,Night,Desktop,Los Angeles
260,Morning,Desktop,Chicago
261,Evening,Tablet,Chicago
262,Night,Mobile,San Francisco
263,Evening,Tablet,San Francisco
264,Afternoon,Mobile,Los Angeles
265,Evening,Desktop,New York
266,Morning,Desktop,Los Angeles
267,Evening,Mobile,Los Angeles
268,Morning,Mobile,Los Angeles
269,Morning,Mobile,San Francisco
270,Evening,Tablet,New York
271,Evening,Mobile,Los Angeles
272,Evening,Mobile,New York
273,Afternoon,Desktop,Los Angeles
274,Afternoon,Mobile,San Francisco
275,Night,Mobile,New York
276,Evening,Desktop,San Francisco
277,Night,Mobile,Houston
278,Night,Desktop,Houston
279,Morning,Mobile,New York
280,Night,Mobile,Chicago
281,Evening,Mobile,New York
282,Afternoon,Mobile,Los Angeles
283,Night,Tablet,Houston
284,Night,Desktop,New York
285,Afternoon,Mobile,New York
286,Night,Mobile,Los Angeles
287,Evening,Mobile,San Francisco
288,Night,Mobile,Houston
289,Morning,Mobile,San Francisco
290,Night,Desktop,New York
291,Morning,Mobile,Houston
292,Afternoon,Mobile,San Francisco
293,Afternoon,Mobile,San Francisco
294,Night,Mobile,Los Angeles
295,Night,Desktop,Houston
296,Afternoon,Mobile,San Francisco
297,Morning,Mobile,San Francisco
298,Afternoon,Mobile,Houston
299,Afternoon,Tablet,New York
300,Morning,Mobile,New York
301,Afternoon,Desktop,New York
302,Night,Mobile,Los Angeles
303,Night,Desktop,Los Angeles
304,Afternoon,Desktop,Los Angeles
305,Night,Mobile,Los Angeles
306,Evening,Desktop,New York
307,Afternoon,Desktop,Los Angeles
308,Evening,Mobile,Los Angeles
309,Afternoon,Mobile,Los Angeles
310,Afternoon,Desktop,Houston
311,Evening,Desktop,New York
312,Afternoon,Desktop,Houston
313,Night,Desktop,Chicago
314,Evening,Desktop,New York
315,Afternoon,Desktop,Chicago
316,Night,Mobile,New York
317,Evening,Mobile,Houston
318,Evening,Tablet,New York
319,Night,Mobile,San Francisco
320,Afternoon,Mobile,New York
321,Afternoon,Desktop,New York
322,Evening,Mobile,San Francisco
323,Morning,Mobile,San Francisco
324,Afternoon,Mobile,San Francisco
325,Afternoon,Desktop,Los Angeles
326,Night,Tablet,Houston
327,Morning,Mobile,San Francisco
328,Morning,Mobile,Houston
329,Evening,Mobile,San Francisco
330,Night,Mobile,New York
331,Night,Mobile,San Francisco
332,Afternoon,Mobile,San Francisco
333,Evening,Mobile,Houston
334,Afternoon,Mobile,Chicago
335,Morning,Mobile,Houston
336,Night,Desktop,Houston
337,Evening,Desktop,New York
338,Afternoon,Tablet,San Francisco
339,Afternoon,Desktop,New York
340,Morning,Mobile,Los Angeles
341,Night,Desktop,Los Angeles
342,Morning,Mobile,New York
343,Afternoon,Desktop,Houston
344,Night,Desktop,Houston
345,Night,Desktop,New York
346,Morning,Tablet,San Francisco
347,Night,Desktop,San Francisco
348,Morning,Desktop,New York
349,Night,Mobile,Los Angeles
350,Night,Tablet,Houston
351,Evening,Mobile,Houston
352,Night,Tablet,Chicago
353,Afternoon,Mobile,San Francisco
354,Evening,Mobile,Los Angeles
355,Morning,Desktop,New York
356,Afternoon,Mobile,San Francisco
357,Morning,Desktop,Chicago
358,Morning,Mobile,San Francisco
359,Afternoon,Desktop,Houston
360,Morning,Desktop,San Francisco
361,Evening,Desktop,San Francisco
362,Afternoon,Mobile,New York
363,Morning,Mobile,San Francisco
364,Morning,Desktop,New York
365,Night,Mobile,San Francisco
366,Night,Mobile,San Francisco
367,Morning,Desktop,Chicago
368,Afternoon,Mobile,Chicago
369,Evening,Mobile,San Francisco
370,Morning,Mobile,Los Angeles
371,Morning,Mobile,Houston
372,Morning,Desktop,Chicago
373,Night,Mobile,Los Angeles
374,Afternoon,Tablet,New York
375,Morning,Mobile,Houston
376,Night,Mobile,New York
377,Morning,Mobile,New York
378,Morning,Mobile,Los Angeles
379,Afternoon,Desktop,Los Angeles
380,Night,Desktop,New York
381,Evening,Mobile,Houston
382,Afternoon,Desktop,Chicago
383,Evening,Mobile,San Francisco
384,Night,Mobile,Houston
385,Night,Mobile,San Francisco
386,Evening,Tablet,New York
387,Night,Mobile,Houston
388,Afternoon,Desktop,Houston
389,Morning,Mobile,San Francisco
390,Evening,Mobile,San Francisco
391,Morning,Mobile,Los Angeles
392,Evening,Desktop,Houston
393,Morning,Desktop,Chicago
394,Morning,Mobile,Los Angeles
395,Afternoon,Desktop,Houston
396,Morning,Mobile,New York
397,Evening,Tablet,Houston
398,Morning,Desktop,Houston
399,Night,Desktop,Houston
400,Morning,Desktop,New York
401,Morning,Mobile,Houston
402,Night,Desktop,New York
403,Night,Mobile,San Francisco
404,Evening,Mobile,New York
405,Night,Mobile,San Francisco
406,Night,Mobile,Houston
407,Evening,Mobile,New York
408,Evening,Mobile,Los Angeles
409,Morning,Mobile,Houston
410,Afternoon,Mobile,San Francisco
411,Evening,Desktop,San Francisco
412,Night,Mobile,Houston
413,Morning,Desktop,Los Angeles
414,Night,Mobile,Los Angeles
415,Evening,Mobile,San Francisco
416,Afternoon,Mobile,New York
417,Morning,Mobile,Houston
418,Evening,Desktop,Los Angeles
419,Evening,Desktop,Los Angeles
420,Night,Mobile,Houston
421,Afternoon,Mobile,San Francisco
422,Evening,Desktop,San Francisco
423,Night,Mobile,San Francisco
424,Morning,Mobile,Chicago
425,Night,Desktop,Chicago
426,Morning,Mobile,Chicago
427,Night,Tablet,Los Angeles
428,Afternoon,Desktop,Chicago
429,Night,Mobile,Chicago
430,Afternoon,Mobile,New York
431,Afternoon,Mobile,San Francisco
432,Morning,Mobile,Chicago
433,Night,Tablet,New York
434,Night,Desktop,Houston
435,Night,Mobile,Los Angeles
436,Afternoon,Mobile,Houston
437,Evening,Mobile,Los Angeles
438,Night,Mobile,San Francisco
439,Night,Desktop,Los Angeles
440,Evening,Desktop,Chicago
441,Morning,Mobile,Houston
442,Night,Mobile,Houston
443,Evening,Desktop,San Francisco
444,Night,Mobile,Houston
445,Afternoon,Desktop,San Francisco
446,Evening,Mobile,Los Angeles
447,Afternoon,Desktop,Los Angeles
448,Evening,Desktop,Los Angeles
449,Morning,Desktop,New York
450,Afternoon,Tablet,Houston
451,Night,Tablet,San Francisco
452,Evening,Desktop,Los Angeles
453,Night,Tablet,New York
454,Morning,Desktop,Los Angeles
455,Evening,Desktop,Los Angeles
456,Morning,Mobile,Houston
457,Evening,Mobile,Chicago
458,Afternoon,Desktop,New York
459,Night,Mobile,Houston
460,Afternoon,Desktop,Chicago
461,Afternoon,Mobile,Los Angeles
462,Afternoon,Mobile,Houston
463,Afternoon,Desktop,Houston
464,Evening,Tablet,San Francisco
465,Night,Mobile,Los Angeles
466,Evening,Desktop,Chicago
467,Evening,Desktop,Houston
468,Evening,Mobile,Los Angeles
469,Afternoon,Mobile,Chicago
470,Morning,Mobile,Los Angeles
471,Afternoon,Mobile,Houston
472,Evening,Mobile,Los Angeles
473,Afternoon,Mobile,San Francisco
474,Night,Mobile,San Francisco
475,Night,Desktop,Houston
476,Afternoon,Mobile,San Francisco
477,Afternoon,Desktop,Chicago
478,Morning,Mobile,Houston
479,Afternoon,Desktop,Houston
480,Afternoon,Desktop,New York
481,Morning,Mobile,Los Angeles
482,Afternoon,Tablet,San Francisco
483,Afternoon,Desktop,San Francisco
484,Afternoon,Desktop,Houston
485,Afternoon,Desktop,San Francisco
486,Afternoon,Mobile,Los Angeles
487,Evening,Mobile,Chicago
488,Afternoon,Mobile,Houston
489,Morning,Mobile,Los Angeles
490,Afternoon,Mobile,New York
491,Evening,Desktop,Los Angeles
492,Morning,Mobile,San Francisco
493,Morning,Tablet,Chicago
494,Afternoon,Mobile,New York
495,Night,Mobile,Houston
496,Evening,Mobile,Los Angeles
497,Night,Mobile,New York
498,Afternoon,Tablet,Houston
499,Evening,Desktop,New York
500,Night,Mobile,Los Angeles
501,Evening,Tablet,Houston
502,Afternoon,Desktop,Houston
503,Evening,Mobile,Los Angeles
504,Afternoon,Desktop,San Francisco
505,Night,Desktop,Chicago
506,Evening,Mobile,Houston
507,Morning,Desktop,Los Angeles
508,Afternoon,Mobile,San Francisco
509,Evening,Mobile,New York
510,Morning,Mobile,Los Angeles
511,Morning,Tablet,Chicago
512,Morning,Desktop,San Francisco
513,Morning,Mobile,Chicago
514,Afternoon,Mobile,Chicago
515,Evening,Mobile,Chicago
516,Morning,Desktop,New York
517,Evening,Mobile,Houston
518,Evening,Desktop,San Francisco
519,Night,Tablet,New York
520,Evening,Desktop,Houston
521,Afternoon,Mobile,Los Angeles
522,Afternoon,Mobile,San Francisco
523,Morning,Mobile,Chicago
524,Evening,Desktop,Los Angeles
525,Afternoon,Desktop,New York
526,Afternoon,Mobile,Los Angeles
527,Afternoon,Mobile,New York
528,Morning,Desktop,New York
529,Afternoon,Mobile,Los Angeles
530,Evening,Mobile,Houston
531,Afternoon,Desktop,San Francisco
532,Afternoon,Mobile,New York
533,Morning,Desktop,San Francisco
534,Evening,Desktop,Chicago
535,Afternoon,Desktop,New York
536,Evening,Mobile,San Francisco
537,Evening,Mobile,Houston
538,Afternoon,Mobile,Los Angeles
539,Morning,Mobile,Houston
540,Evening,Tablet,Los Angeles
541,Night,Desktop,San Francisco
542,Afternoon,Mobile,San Francisco
543,Evening,Tablet,Los Angeles
544,Evening,Desktop,Los Angeles
545,Evening,Mobile,Houston
546,Afternoon,Mobile,New York
547,Night,Mobile,New York
548,Evening,Tablet,Los Angeles
549,Evening,Mobile,Houston
550,Morning,Desktop,Los Angeles
551,Afternoon,Mobile,New York
552,Afternoon,Desktop,San Francisco
553,Evening,Mobile,Chicago
554,Morning,Tablet,San Francisco
555,Evening,Tablet,Chicago
556,Evening,Mobile,Los Angeles
557,Afternoon,Desktop,Chicago
558,Morning,Desktop,Los Angeles
559,Evening,Tablet,Los Angeles
560,Afternoon,Mobile,Chicago
561,Evening,Mobile,New York
562,Evening,Desktop,Houston
563,Morning,Desktop,Houston
564,Morning,Mobile,San Francisco
565,Morning,Desktop,Houston
566,Evening,Mobile,Houston
567,Night,Desktop,Los Angeles
568,Morning,Mobile,Los Angeles
569,Night,Mobile,Houston
570,Night,Mobile,New York
571,Night,Mobile,Los Angeles
572,Afternoon,Mobile,Chicago
573,Evening,Mobile,Houston
574,Morning,Mobile,New York
575,Evening,Mobile,New York
576,Evening,Desktop,New York
577,Afternoon,Mobile,San Francisco
578,Afternoon,Mobile,Los Angeles
579,Afternoon,Desktop,Houston
580,Evening,Tablet,Los Angeles
581,Night,Desktop,Chicago
582,Evening,Mobile,New York
583,Afternoon,Desktop,San Francisco
584,Evening,Tablet,New York
585,Afternoon,Mobile,Los Angeles
586,Afternoon,Tablet,Houston
587,Morning,Mobile,Chicago
588,Night,Mobile,New York
589,Afternoon,Mobile,San Francisco
590,Morning,Desktop,San Francisco
591,Night,Mobile,New York
592,Afternoon,Mobile,Los Angeles
593,Night,Mobile,New York
594,Night,Mobile,Houston
595,Evening,Mobile,San Francisco
596,Morning,Mobile,Houston
597,Night,Mobile,Chicago
598,Evening,Tablet,Los Angeles
599,Night,Mobile,San Francisco
600,Evening,Mobile,San Francisco
601,Afternoon,Mobile,San Francisco
602,Afternoon,Mobile,Los Angeles
603,Evening,Mobile,Los Angeles
604,Afternoon,Mobile,San Francisco
605,Afternoon,Desktop,San Francisco
606,Afternoon,Mobile,Los Angeles
607,Night,Mobile,New York
608,Evening,Mobile,Los Angeles
609,Morning,Desktop,New York
610,Morning,Desktop,New York
611,Evening,Mobile,Los Angeles
612,Night,Mobile,Houston
613,Afternoon,Tablet,Los Angeles
614,Afternoon,Mobile,Chicago
615,Night,Mobile,Los Angeles
616,Morning,Mobile,Houston
617,Evening,Mobile,San Francisco
618,Evening,Tablet,New York
619,Night,Tablet,San Francisco
620,Afternoon,Desktop,San Francisco
621,Afternoon,Mobile,Chicago
622,Afternoon,Mobile,San Francisco
623,Evening,Mobile,Chicago
624,Morning,Tablet,Houston
625,Evening,Desktop,Chicago
626,Night,Mobile,New York
627,Evening,Mobile,Los Angeles
628,Night,Mobile,Los Angeles
629,Evening,Tablet,Los Angeles
630,Morning,Mobile,Chicago
631,Night,Mobile,Los Angeles
632,Afternoon,Mobile,Chicago
633,Afternoon,Mobile,Houston
634,Evening,Tablet,Houston
635,Evening,Tablet,New York
636,Morning,Tablet,San Francisco
637,Morning,Desktop,Chicago
638,Afternoon,Mobile,Houston
639,Evening,Mobile,Los Angeles
640,Night,Mobile,San Francisco
641,Morning,Desktop,San Francisco
642,Night,Mobile,New York
643,Night,Desktop,San Francisco
644,Morning,Mobile,New York
645,Evening,Mobile,Houston
646,Night,Desktop,New York
647,Evening,Tablet,Los Angeles
648,Night,Mobile,Houston
649,Evening,Mobile,Chicago
650,Evening,Tablet,Houston
651,Evening,Desktop,Houston
652,Evening,Mobile,New York
653,Morning,Mobile,Houston
654,Night,Mobile,New York
655,Evening,Mobile,Houston
656,Afternoon,Desktop,San Francisco
657,Night,Mobile,Los Angeles
658,Night,Mobile,Los Angeles
659,Evening,Mobile,New York
660,Night,Mobile,San Francisco
661,Afternoon,Mobile,Chicago
662,Afternoon,Mobile,San Francisco
663,Afternoon,Mobile,San Francisco
664,Night,Mobile,Houston
665,Night,Mobile,San Francisco
666,Evening,Mobile,Los Angeles
667,Night,Desktop,Houston
668,Night,Mobile,Los Angeles
669,Evening,Mobile,San Francisco
670,Afternoon,Mobile,Los Angeles
671,Evening,Tablet,San Francisco
672,Morning,Tablet,Houston
673,Night,Mobile,Houston
674,Night,Desktop,Houston
675,Morning,Mobile,Chicago
676,Morning,Mobile,Chicago
677,Morning,Mobile,New York
678,Evening,Mobile,Chicago
679,Afternoon,Mobile,Houston
680,Evening,Desktop,Los Angeles
681,Morning,Desktop,Los Angeles
682,Evening,Mobile,San Francisco
683,Night,Mobile,New York
684,Evening,Mobile,Los Angeles
685,Morning,Mobile,Los Angeles
686,Night,Tablet,New York
687,Afternoon,Desktop,Chicago
688,Evening,Tablet,Houston
689,Evening,Desktop,Los Angeles
690,Morning,Mobile,Los Angeles
691,Afternoon,Mobile,New York
692,Night,Mobile,Chicago
693,Morning,Mobile,Los Angeles
694,Morning,Desktop,New York
695,Evening,Mobile,San Francisco
696,Afternoon,Mobile,Los Angeles
697,Morning,Desktop,San Francisco
698,Evening,Desktop,Los Angeles
699,Night,Mobile,Los Angeles
700,Morning,Desktop,San Francisco
701,Night,Mobile,San Francisco
702,Night,Mobile,Chicago
703,Evening,Mobile,Houston
704,Afternoon,Mobile,New York
705,Night,Desktop,Houston
706,Morning,Mobile,Houston
707,Afternoon,Desktop,Chicago
708,Afternoon,Desktop,Chicago
709,Evening,Mobile,San Francisco
710,Morning,Desktop,Los Angeles
711,Morning,Mobile,Houston
712,Evening,Mobile,Chicago
713,Evening,Desktop,Chicago
714,Afternoon,Desktop,Houston
715,Night,Mobile,Chicago
716,Night,Tablet,Houston
717,Night,Mobile,New York
718,Night,Tablet,Chicago
719,Morning,Mobile,Houston
720,Morning,Mobile,San Francisco
721,Evening,Mobile,San Francisco
722,Evening,Mobile,San Francisco
723,Night,Mobile,San Francisco
724,Evening,Desktop,Los Angeles
725,Morning,Mobile,San Francisco
726,Night,Mobile,Chicago
727,Night,Mobile,Los Angeles
728,Morning,Mobile,New York
729,Afternoon,Desktop,Houston
730,Night,Desktop,San Francisco
731,Evening,Tablet,San Francisco
732,Afternoon,Mobile,Houston
733,Morning,Mobile,New York
734,Afternoon,Mobile,Los Angeles
735,Afternoon,Tablet,New York
736,Night,Desktop,Houston
737,Afternoon,Mobile,New York
738,Evening,Mobile,New York
739,Night,Desktop,Chicago
740,Morning,Desktop,Chicago
741,Evening,Desktop,Houston
742,Night,Mobile,Houston
743,Afternoon,Tablet,New York
744,Evening,Mobile,San Francisco
745,Night,Tablet,Los Angeles
746,Night,Desktop,San Francisco
747,Morning,Desktop,Los Angeles
748,Night,Desktop,Houston
749,Morning,Mobile,Houston
750,Afternoon,Mobile,Houston
751,Night,Mobile,Chicago
752,Night,Mobile,Houston
753,Afternoon,Mobile,New York
754,Night,Mobile,New York
755,Night,Desktop,Chicago
756,Evening,Mobile,Chicago
757,Morning,Desktop,Houston
758,Night,Desktop,Chicago
759,Night,Mobile,Houston
760,Morning,Mobile,Los Angeles
761,Evening,Mobile,Los Angeles
762,Morning,Desktop,Los Angeles
763,Night,Mobile,Chicago
764,Afternoon,Mobile,Chicago
765,Afternoon,Desktop,San Francisco
766,Evening,Mobile,San Francisco
767,Evening,Desktop,San Francisco
768,Night,Mobile,Houston
769,Evening,Desktop,Houston
770,Night,Tablet,Houston
771,Afternoon,Desktop,New York
772,Evening,Mobile,Houston
773,Night,Mobile,San Francisco
774,Morning,Desktop,Houston
775,Evening,Mobile,New York
776,Night,Mobile,Houston
777,Night,Desktop,San Francisco
778,Morning,Mobile,New York
779,Afternoon,Mobile,Houston
780,Morning,Tablet,Los Angeles
781,Night,Mobile,Chicago
782,Morning,Mobile,Los Angeles
783,Morning,Desktop,Los Angeles
784,Night,Desktop,San Francisco
785,Afternoon,Mobile,Los Angeles
786,Morning,Desktop,Houston
787,Morning,Desktop,Houston
788,Evening,Mobile,New York
789,Evening,Mobile,Houston
790,Night,Mobile,Los Angeles
791,Night,Desktop,San Francisco
792,Night,Desktop,New York
793,Evening,Mobile,San Francisco
794,Night,Desktop,Los Angeles
795,Morning,Desktop,Los Angeles
796,Morning,Mobile,San Francisco
797,Afternoon,Desktop,Chicago
798,Night,Mobile,Chicago
799,Morning,Tablet,Los Angeles
800,Morning,Mobile,Los Angeles
801,Afternoon,Desktop,Houston
802,Morning,Desktop,New York
803,Afternoon,Mobile,Chicago
804,Afternoon,Desktop,San Francisco
805,Evening,Desktop,Los Angeles
806,Morning,Tablet,Los Angeles
807,Evening,Mobile,Houston
808,Morning,Mobile,San Francisco
809,Evening,Tablet,San Francisco
810,Afternoon,Desktop,Houston
811,Afternoon,Desktop,New York
812,Afternoon,Tablet,Chicago
813,Afternoon,Mobile,New York
814,Morning,Mobile,San Francisco
815,Night,Mobile,San Francisco
816,Morning,Desktop,New York
817,Evening,Desktop,Los Angeles
818,Morning,Tablet,Los Angeles
819,Morning,Mobile,Houston
820,Evening,Desktop,San Francisco
821,Afternoon,Tablet,Houston
822,Evening,Desktop,New York
823,Evening,Mobile,Houston
824,Night,Desktop,Los Angeles
825,Night,Tablet,Los Angeles
826,Afternoon,Tablet,Los Angeles
827,Evening,Desktop,Houston
828,Evening,Desktop,San Francisco
829,Evening,Mobile,Chicago
830,Morning,Mobile,New York
831,Night,Tablet,San Francisco
832,Night,Mobile,Houston
833,Afternoon,Mobile,New York
834,Night,Mobile,Los Angeles
835,Night,Mobile,Los Angeles
836,Afternoon,Desktop,New York
837,Evening,Mobile,Chicago
838,Morning,Tablet,Houston
839,Afternoon,Tablet,Houston
840,Night,Mobile,Houston
841,Afternoon,Mobile,New York
842,Night,Desktop,New York
843,Evening,Desktop,Los Angeles
844,Evening,Mobile,Los Angeles
845,Evening,Mobile,Houston
846,Night,Mobile,San Francisco
847,Afternoon,Mobile,New York
848,Night,Mobile,New York
849,Evening,Desktop,San Francisco
850,Evening,Desktop,Los Angeles
851,Evening,Desktop,San Francisco
852,Night,Mobile,Houston
853,Morning,Desktop,Los Angeles
854,Evening,Mobile,Houston
855,Afternoon,Mobile,Houston
856,Evening,Desktop,New York
857,Night,Desktop,Chicago
858,Afternoon,Mobile,San Francisco
