user_id,age,gender,location,interests_categories,avg_preferred_price,preferred_brands,common_interaction_types,interacted_products,high_rated_products
33,33,Female,Houston,"['Electronics', 'Books', 'Toys']",260.07,"['BrandD', 'BrandE', 'BrandC']",['add_to_cart'],[378],"[76, 36]"
34,32,Female,Houston,['Beauty'],320.36,['BrandD'],['view'],[154],[]
35,64,Other,San Francisco,"['Electronics', 'Clothing']",278.75,"['BrandC', 'BrandB', 'BrandD']","['view', 'purchase']","[77, 131, 497, 431]",[]
36,61,Male,Chicago,"['Home & Kitchen', 'Electronics', 'Clothing']",285.3,"['BrandD', 'BrandE', 'BrandA']","['view', 'add_to_cart']","[431, 351, 273]",[304]
37,20,Male,Los Angeles,"['Electronics', 'Beauty']",384.52,"['BrandB', 'BrandE']","['add_to_cart', 'view']","[131, 245]",[]
38,54,Male,Chicago,"['Sports', 'Books', 'Toys']",319.5,"['BrandD', 'BrandB', 'BrandA']","['add_to_cart', 'view']","[279, 450]",[93]
39,24,Other,Los Angeles,"['Toys', 'Books', 'Electronics']",255.13,"['BrandE', 'BrandC', 'BrandD']","['view', 'add_to_cart']","[481, 43, 75, 242, 85, 176, 355]",[16]
40,38,Other,San Francisco,"['Electronics', 'Beauty', 'Books']",201.89,"['BrandE', 'BrandC', 'BrandB']","['view', 'add_to_cart']","[99, 114, 206, 57]","[201, 380]"
41,26,Female,Los Angeles,"['Toys', 'Books']",240.75,['BrandA'],['view'],[213],[]
42,56,Female,Houston,"['Sports', 'Beauty', 'Home & Kitchen']",285.65,"['BrandE', 'BrandA', 'BrandD']","['view', 'add_to_cart', 'purchase']","[404, 28, 207, 427, 450, 382, 471, 312]",[138]
43,35,Female,New York,"['Books', 'Sports', 'Clothing']",231.37,"['BrandA', 'BrandE', 'BrandD']",['view'],"[488, 49, 162, 436, 208]","[17, 277]"
44,21,Male,New York,"['Sports', 'Beauty', 'Books']",270.43,"['BrandE', 'BrandC', 'BrandA']","['view', 'add_to_cart', 'purchase']","[282, 476, 426, 85, 464, 386]",[454]
45,42,Male,San Francisco,"['Electronics', 'Sports', 'Books']",286.95,"['BrandA', 'BrandB', 'BrandD']","['purchase', 'view', 'add_to_cart']","[186, 118, 266, 176, 35, 2]",[128]
46,31,Female,Houston,"['Sports', 'Books', 'Electronics']",241.56,"['BrandC', 'BrandB', 'BrandA']","['view', 'add_to_cart', 'purchase']","[266, 418, 204, 446]",[78]
47,26,Male,Chicago,"['Clothing', 'Electronics', 'Beauty']",187.79,"['BrandA', 'BrandE', 'BrandD']","['view', 'add_to_cart']","[138, 266, 351, 42]",[145]
48,43,Female,Houston,"['Beauty', 'Clothing', 'Home & Kitchen']",232.45,"['BrandC', 'BrandD', 'BrandB']","['view', 'add_to_cart']","[180, 194, 12, 28]",[262]
49,19,Other,New York,"['Sports', 'Electronics', 'Books']",298.88,"['BrandD', 'BrandB', 'BrandC']","['view', 'add_to_cart']","[257, 263, 478, 444, 288, 447]",[231]
50,37,Female,New York,"['Electronics', 'Toys', 'Sports']",302.58,"['BrandE', 'BrandC', 'BrandD']","['view', 'add_to_cart']","[16, 224, 79, 11, 260]",[36]
51,45,Other,Houston,"['Home & Kitchen', 'Toys', 'Books']",224.18,"['BrandC', 'BrandE', 'BrandD']","['add_to_cart', 'view']","[411, 347, 471, 307]",[144]
52,64,Male,Houston,"['Electronics', 'Toys', 'Beauty']",220.32,"['BrandD', 'BrandA', 'BrandE']","['add_to_cart', 'view']","[281, 295, 201, 78, 265, 116]","[316, 112]"
53,24,Female,New York,"['Clothing', 'Sports', 'Books']",261.16,"['BrandE', 'BrandB', 'BrandC']",['view'],"[149, 358]",[451]
54,61,Male,Chicago,"['Sports', 'Electronics', 'Beauty']",223.96,"['BrandA', 'BrandB', 'BrandC']","['add_to_cart', 'purchase', 'view']","[150, 477, 66, 10, 445]",[]
55,25,Other,San Francisco,"['Toys', 'Books', 'Sports']",367.22,"['BrandD', 'BrandA', 'BrandC']","['purchase', 'add_to_cart']","[62, 367]",[]
56,64,Other,San Francisco,"['Beauty', 'Toys', 'Home & Kitchen']",294.37,"['BrandA', 'BrandD', 'BrandB']","['add_to_cart', 'view', 'purchase']","[433, 404, 358, 199, 145, 291, 371, 176]","[413, 381]"
57,52,Other,Houston,"['Home & Kitchen', 'Beauty', 'Electronics']",435.03,"['BrandD', 'BrandC', 'BrandB']","['add_to_cart', 'purchase', 'view']","[487, 258, 163, 4, 51, 25]",[107]
58,31,Male,San Francisco,"['Beauty', 'Home & Kitchen', 'Electronics']",315.84,"['BrandC', 'BrandB', 'BrandD']","['view', 'purchase', 'add_to_cart']","[290, 258, 132, 386, 254, 271, 312, 252, 243]","[380, 304]"
59,34,Male,New York,"['Books', 'Sports', 'Toys']",344.95,"['BrandC', 'BrandA', 'BrandB']","['view', 'purchase', 'add_to_cart']","[423, 137, 196, 89, 403, 294]",[358]
60,53,Male,New York,"['Books', 'Clothing', 'Sports']",268.32,"['BrandB', 'BrandC', 'BrandE']","['view', 'add_to_cart']","[454, 465, 154]","[31, 402]"
61,57,Male,Houston,"['Beauty', 'Toys', 'Home & Kitchen']",292.5,"['BrandB', 'BrandA', 'BrandE']","['purchase', 'view']","[247, 85]","[334, 500, 67]"
62,21,Other,Houston,"['Sports', 'Toys', 'Electronics']",257.23,"['BrandE', 'BrandB', 'BrandD']","['view', 'add_to_cart']","[34, 300, 428, 166]",[]
63,19,Other,Houston,"['Toys', 'Beauty', 'Clothing']",301.79,"['BrandA', 'BrandD', 'BrandC']","['add_to_cart', 'view']","[74, 359, 269]","[19, 180, 67]"
64,23,Female,Chicago,"['Home & Kitchen', 'Clothing', 'Sports']",280.68,"['BrandA', 'BrandB', 'BrandE']","['view', 'add_to_cart']","[200, 344, 439, 110, 324]",[]
65,59,Female,San Francisco,"['Books', 'Beauty', 'Home & Kitchen']",293.1,"['BrandE', 'BrandD', 'BrandC']","['view', 'add_to_cart']","[137, 6, 109, 160, 464]","[158, 135, 182, 281, 461, 44]"
66,21,Male,Houston,"['Sports', 'Toys', 'Electronics']",312.46,"['BrandC', 'BrandE', 'BrandB']","['view', 'add_to_cart']","[19, 343, 387, 485, 258, 92]",[454]
67,46,Other,Los Angeles,"['Clothing', 'Home & Kitchen', 'Toys']",214.61,"['BrandC', 'BrandB', 'BrandA']","['view', 'purchase']","[476, 332, 438]","[8, 7]"
68,35,Other,Los Angeles,"['Home & Kitchen', 'Toys', 'Beauty']",321.35,"['BrandB', 'BrandC', 'BrandA']","['view', 'purchase', 'add_to_cart']","[377, 246, 65, 16, 183, 251, 250]",[]
69,43,Other,New York,"['Toys', 'Electronics', 'Sports']",269.25,"['BrandB', 'BrandC', 'BrandE']","['view', 'add_to_cart']","[237, 105, 288, 95, 439, 430, 391, 9]","[387, 111]"
70,61,Female,San Francisco,"['Books', 'Sports', 'Clothing']",182.0,"['BrandA', 'BrandE', 'BrandD']",['view'],"[139, 10, 73, 323, 440, 470]",[]
71,51,Female,Houston,"['Beauty', 'Home & Kitchen', 'Electronics']",304.95,"['BrandA', 'BrandD', 'BrandC']","['view', 'add_to_cart']","[383, 92, 404, 247, 87, 4, 66, 146, 22]","[486, 19, 117]"
72,27,Other,Los Angeles,"['Beauty', 'Toys', 'Books']",296.41,"['BrandC', 'BrandD', 'BrandE']","['view', 'purchase', 'add_to_cart']","[75, 121, 197, 480, 450, 487, 205]",[]
73,53,Other,San Francisco,"['Sports', 'Beauty', 'Toys']",269.77,"['BrandC', 'BrandA', 'BrandD']","['view', 'add_to_cart', 'purchase']","[151, 199, 399, 188, 16, 31, 289, 212, 137]",[389]
74,31,Other,New York,"['Sports', 'Toys', 'Home & Kitchen']",206.59,"['BrandA', 'BrandC', 'BrandD']","['view', 'add_to_cart']","[359, 222, 74, 233, 362, 382]",[]
75,48,Female,Chicago,"['Clothing', 'Toys', 'Home & Kitchen']",180.45,"['BrandA', 'BrandC', 'BrandB']","['view', 'add_to_cart', 'purchase']","[205, 109, 346, 479, 425, 8, 57]",[]
76,32,Other,San Francisco,"['Sports', 'Clothing', 'Toys']",294.94,"['BrandA', 'BrandE', 'BrandD']","['view', 'purchase', 'add_to_cart']","[337, 83, 77, 225, 71, 29, 132]",[]
77,25,Other,San Francisco,"['Home & Kitchen', 'Beauty', 'Sports']",262.51,"['BrandA', 'BrandB', 'BrandE']","['add_to_cart', 'view']","[166, 287]",[143]
78,31,Male,Chicago,"['Home & Kitchen', 'Beauty', 'Sports']",313.42,"['BrandE', 'BrandB', 'BrandC']","['view', 'add_to_cart', 'purchase']","[467, 258, 486, 391, 435]",[114]
79,40,Male,San Francisco,"['Sports', 'Clothing', 'Electronics']",346.85,"['BrandB', 'BrandA', 'BrandD']","['view', 'purchase']","[132, 253, 208, 155, 50, 57, 370, 72]","[127, 236]"
80,57,Female,New York,"['Electronics', 'Sports']",230.28,"['BrandA', 'BrandC', 'BrandB']",['view'],"[333, 264]","[254, 126, 498]"
81,38,Other,New York,"['Home & Kitchen', 'Toys', 'Sports']",253.27,"['BrandD', 'BrandA', 'BrandC']","['view', 'add_to_cart']","[61, 387, 257]","[471, 65, 357, 385]"
82,33,Other,Chicago,"['Home & Kitchen', 'Books', 'Toys']",248.31,"['BrandB', 'BrandC', 'BrandE']","['add_to_cart', 'view', 'purchase']","[84, 447, 69, 159, 164, 262, 25, 260]",[256]
83,62,Male,Houston,"['Electronics', 'Toys', 'Home & Kitchen']",299.99,"['BrandA', 'BrandC', 'BrandB']",['view'],"[258, 177, 380, 458, 224]",[]
84,35,Female,Los Angeles,"['Electronics', 'Beauty', 'Books']",243.79,"['BrandC', 'BrandE', 'BrandB']","['view', 'add_to_cart', 'purchase']","[228, 472, 191, 499, 306]",[]
85,64,Male,Houston,"['Books', 'Sports', 'Electronics']",262.98,"['BrandC', 'BrandA', 'BrandD']","['view', 'add_to_cart', 'purchase']","[142, 191, 141, 80, 301, 48]",[352]
86,41,Male,San Francisco,"['Beauty', 'Books', 'Electronics']",272.93,"['BrandA', 'BrandB', 'BrandE']","['add_to_cart', 'purchase', 'view']","[26, 407, 440]",[400]
87,43,Male,Los Angeles,"['Toys', 'Home & Kitchen', 'Sports']",265.83,"['BrandE', 'BrandD', 'BrandA']",['view'],"[34, 278, 211, 468, 410]",[]
88,42,Male,Chicago,"['Home & Kitchen', 'Electronics', 'Books']",250.09,"['BrandE', 'BrandD', 'BrandC']","['view', 'purchase', 'add_to_cart']","[440, 216, 229, 69, 164, 299]",[399]
89,62,Other,Chicago,"['Electronics', 'Home & Kitchen', 'Toys']",169.25,"['BrandB', 'BrandE', 'BrandA']","['add_to_cart', 'view']","[447, 313]","[63, 116, 170, 498]"
90,58,Other,Los Angeles,"['Books', 'Sports', 'Home & Kitchen']",288.84,"['BrandA', 'BrandD', 'BrandB']","['view', 'add_to_cart']","[497, 165, 23, 419, 257, 437, 42, 211, 403]",[440]
91,46,Male,New York,"['Beauty', 'Electronics', 'Toys']",317.33,"['BrandD', 'BrandC', 'BrandA']",['add_to_cart'],"[87, 409]","[381, 191, 299]"
92,32,Female,Los Angeles,"['Books', 'Clothing', 'Electronics']",153.55,"['BrandC', 'BrandA', 'BrandE']","['view', 'add_to_cart', 'purchase']","[417, 318, 69, 135, 332, 171]",[]
93,62,Female,San Francisco,"['Home & Kitchen', 'Electronics', 'Books']",187.66,"['BrandE', 'BrandB', 'BrandA']","['view', 'add_to_cart']","[89, 422, 293, 111, 116, 249, 216]",[60]
94,18,Female,New York,"['Clothing', 'Electronics', 'Sports']",216.77,"['BrandC', 'BrandA']","['view', 'add_to_cart', 'purchase']","[319, 220, 56, 441]",[]
95,42,Female,Chicago,"['Toys', 'Electronics', 'Books']",240.56,"['BrandC', 'BrandD', 'BrandB']","['view', 'add_to_cart']","[308, 90, 288]",[427]
96,24,Male,Los Angeles,"['Electronics', 'Home & Kitchen', 'Books']",227.75,"['BrandD', 'BrandA', 'BrandC']","['view', 'add_to_cart', 'purchase']","[420, 160, 152, 422, 425]",[]
97,26,Other,Houston,"['Sports', 'Books', 'Electronics']",236.62,"['BrandC', 'BrandA', 'BrandD']","['view', 'add_to_cart']","[328, 126, 123, 451, 414]",[88]
98,41,Female,Houston,"['Home & Kitchen', 'Toys', 'Electronics']",318.23,"['BrandB', 'BrandA', 'BrandD']",['view'],"[253, 242, 19, 167, 81]","[384, 494]"
99,18,Male,San Francisco,"['Beauty', 'Home & Kitchen', 'Electronics']",176.08,"['BrandC', 'BrandE', 'BrandD']","['add_to_cart', 'view']","[452, 271, 270, 275]",[]
100,61,Female,Houston,"['Beauty', 'Clothing', 'Electronics']",213.05,"['BrandC', 'BrandA', 'BrandE']","['purchase', 'add_to_cart']","[336, 437]","[46, 495, 271]"
101,25,Female,Los Angeles,"['Beauty', 'Home & Kitchen', 'Books']",286.03,"['BrandA', 'BrandD', 'BrandB']","['add_to_cart', 'view']","[463, 315, 483, 452, 325, 249, 57, 47]",[391]
102,41,Male,Los Angeles,"['Books', 'Home & Kitchen']",107.42,"['BrandA', 'BrandE']","['view', 'add_to_cart']","[325, 393, 464]",[]
103,28,Other,Houston,"['Books', 'Clothing', 'Sports']",166.22,"['BrandC', 'BrandA', 'BrandD']","['view', 'add_to_cart']","[179, 325, 401, 390, 56]","[473, 460]"
104,34,Other,Los Angeles,"['Books', 'Sports', 'Electronics']",142.19,"['BrandB', 'BrandC']",['view'],"[322, 191, 427]",[396]
105,25,Male,San Francisco,"['Clothing', 'Electronics', 'Sports']",193.07,"['BrandA', 'BrandB', 'BrandD']","['add_to_cart', 'view']","[424, 8, 490, 449, 318, 309]",[]
106,52,Other,New York,"['Books', 'Toys', 'Clothing']",330.28,"['BrandE', 'BrandC', 'BrandA']","['view', 'add_to_cart']","[86, 87, 177, 180, 160, 443, 487, 18, 438]",[472]
107,52,Male,San Francisco,"['Clothing', 'Sports', 'Beauty']",211.7,"['BrandA', 'BrandC', 'BrandD']","['view', 'add_to_cart']","[490, 356, 479, 12]","[216, 199]"
108,50,Male,San Francisco,"['Books', 'Beauty', 'Home & Kitchen']",285.32,"['BrandC', 'BrandA', 'BrandE']","['view', 'purchase', 'add_to_cart']","[7, 454, 159, 487, 479, 394]",[]
109,22,Male,Los Angeles,"['Electronics', 'Books', 'Toys']",224.72,"['BrandE', 'BrandC', 'BrandB']","['add_to_cart', 'view']","[463, 376, 116, 368, 280, 114]","[407, 399]"
110,59,Other,New York,"['Home & Kitchen', 'Electronics', 'Beauty']",319.76,"['BrandA', 'BrandB', 'BrandC']","['add_to_cart', 'view']","[92, 168, 113, 317]",[404]
111,56,Male,Los Angeles,"['Sports', 'Beauty', 'Books']",283.59,"['BrandB', 'BrandE', 'BrandC']","['view', 'add_to_cart']","[44, 33, 132, 475, 234, 116, 123, 197]","[121, 267, 225]"
112,58,Female,Chicago,"['Toys', 'Electronics', 'Books']",290.71,"['BrandD', 'BrandC', 'BrandE']","['view', 'add_to_cart']","[368, 338, 233, 33, 281, 240, 361, 235, 15, 211, 134]","[50, 251]"
113,45,Other,Los Angeles,"['Clothing', 'Home & Kitchen', 'Beauty']",188.61,"['BrandC', 'BrandE', 'BrandA']","['view', 'purchase']","[1, 302, 240, 446, 332]",[77]
114,24,Other,Los Angeles,"['Electronics', 'Sports', 'Books']",253.43,"['BrandB', 'BrandD', 'BrandE']","['view', 'add_to_cart']","[267, 493, 81, 378, 497, 434, 495, 24]",[]
115,26,Other,Los Angeles,"['Home & Kitchen', 'Sports', 'Beauty']",271.66,"['BrandA', 'BrandD', 'BrandE']","['view', 'add_to_cart']","[27, 123, 154, 385]","[404, 223]"
116,25,Other,New York,"['Home & Kitchen', 'Books', 'Sports']",220.52,"['BrandD', 'BrandA', 'BrandB']","['view', 'add_to_cart']","[329, 220, 223, 249, 279]",[38]
117,29,Female,Los Angeles,"['Sports', 'Electronics', 'Beauty']",261.0,"['BrandA', 'BrandC', 'BrandB']","['view', 'add_to_cart']","[45, 92, 171, 278, 191, 473, 256]",[17]
118,51,Other,New York,"['Clothing', 'Books', 'Toys']",223.71,"['BrandE', 'BrandA', 'BrandB']","['add_to_cart', 'view']","[178, 271, 46, 54, 307]","[341, 464, 320]"
119,50,Other,Houston,"['Clothing', 'Toys']",377.18,"['BrandC', 'BrandE']",['view'],"[394, 265, 414]",[]
120,40,Male,Chicago,"['Clothing', 'Books', 'Sports']",195.57,"['BrandD', 'BrandC', 'BrandE']",['add_to_cart'],"[351, 48, 294, 46, 379]",[]
121,41,Other,New York,"['Toys', 'Electronics', 'Home & Kitchen']",290.52,"['BrandC', 'BrandD', 'BrandA']",['view'],"[455, 131, 177]","[442, 443, 53]"
122,54,Female,Houston,"['Home & Kitchen', 'Books', 'Sports']",229.01,"['BrandB', 'BrandE', 'BrandC']","['add_to_cart', 'view', 'purchase']","[73, 88, 117, 269]",[]
123,52,Female,New York,"['Sports', 'Home & Kitchen', 'Books']",273.24,"['BrandA', 'BrandB', 'BrandD']","['view', 'add_to_cart']","[186, 324, 180, 421, 342, 297, 314]","[346, 284]"
124,61,Female,New York,"['Electronics', 'Beauty']",171.41,"['BrandE', 'BrandC']",['view'],[481],[]
125,57,Female,Chicago,"['Sports', 'Electronics', 'Books']",272.73,"['BrandA', 'BrandE', 'BrandC']","['view', 'add_to_cart', 'purchase']","[444, 334, 369, 324, 268, 338, 58]",[]
126,39,Other,San Francisco,"['Books', 'Beauty', 'Clothing']",242.39,"['BrandB', 'BrandC', 'BrandE']","['view', 'add_to_cart', 'purchase']","[20, 362, 492, 438, 79, 318, 365]",[255]
127,44,Other,San Francisco,"['Clothing', 'Home & Kitchen']",288.03,"['BrandA', 'BrandD', 'BrandC']",['view'],"[12, 167, 114]",[13]
128,52,Female,New York,"['Books', 'Clothing', 'Beauty']",256.34,"['BrandC', 'BrandD', 'BrandB']","['view', 'add_to_cart']","[347, 230, 292, 198, 31, 111, 346]","[352, 379]"
129,18,Female,Los Angeles,"['Clothing', 'Toys', 'Electronics']",275.17,"['BrandC', 'BrandA', 'BrandE']","['view', 'add_to_cart', 'purchase']","[432, 383, 460, 77, 462, 282, 169, 211]",[]
130,52,Other,Houston,"['Books', 'Clothing', 'Electronics']",262.55,"['BrandB', 'BrandC', 'BrandD']","['view', 'add_to_cart', 'purchase']","[343, 57, 131, 175, 23, 100, 247, 258, 139]","[99, 94, 347]"
131,54,Female,Los Angeles,"['Electronics', 'Beauty']",238.72,"['BrandE', 'BrandD']",['add_to_cart'],"[201, 327]",[]
132,64,Male,Los Angeles,"['Beauty', 'Books', 'Sports']",252.86,"['BrandD', 'BrandB', 'BrandE']","['view', 'add_to_cart']","[440, 296, 347, 56, 205, 338, 257]",[163]
133,31,Female,New York,"['Beauty', 'Sports', 'Toys']",225.59,"['BrandE', 'BrandC', 'BrandA']","['view', 'add_to_cart']","[77, 292, 32]",[348]
134,20,Female,New York,"['Electronics', 'Books', 'Clothing']",321.6,"['BrandB', 'BrandE', 'BrandC']","['view', 'add_to_cart']","[236, 307, 257, 376, 173, 338]","[361, 355]"
135,18,Male,New York,"['Toys', 'Electronics', 'Home & Kitchen']",237.36,"['BrandB', 'BrandA', 'BrandD']",['view'],"[323, 274, 281, 261, 49]","[279, 433, 174]"
136,22,Male,New York,"['Books', 'Beauty']",271.67,"['BrandD', 'BrandB', 'BrandA']","['add_to_cart', 'view']","[133, 66]",[]
137,43,Other,San Francisco,"['Home & Kitchen', 'Toys', 'Books']",147.91,"['BrandB', 'BrandE', 'BrandA']","['add_to_cart', 'view']","[257, 169, 46, 428]",[]
138,31,Other,New York,"['Books', 'Beauty', 'Home & Kitchen']",248.75,"['BrandB', 'BrandC']","['view', 'add_to_cart']","[31, 487, 57, 88]",[308]
139,56,Male,San Francisco,"['Sports', 'Home & Kitchen', 'Electronics']",262.79,"['BrandE', 'BrandC', 'BrandB']",['view'],"[380, 39, 266]",[454]
140,44,Male,San Francisco,"['Toys', 'Books', 'Beauty']",188.65,"['BrandE', 'BrandC', 'BrandD']","['add_to_cart', 'view', 'purchase']","[364, 219, 408, 471, 297, 343]",[16]
141,26,Other,New York,"['Home & Kitchen', 'Electronics', 'Sports']",152.42,"['BrandC', 'BrandB', 'BrandE']","['view', 'add_to_cart']","[116, 326, 15, 71, 214]",[144]
142,32,Female,Chicago,['Clothing'],289.05,['BrandB'],['add_to_cart'],[416],[]
143,32,Male,Houston,"['Home & Kitchen', 'Sports', 'Beauty']",281.67,"['BrandD', 'BrandB', 'BrandC']","['view', 'add_to_cart', 'purchase']","[305, 266, 335, 268, 112, 454]","[419, 177, 202, 81]"
144,43,Other,Los Angeles,"['Toys', 'Sports', 'Books']",226.12,"['BrandE', 'BrandC', 'BrandD']","['view', 'add_to_cart']","[277, 226, 190, 482, 480, 161, 48]",[]
145,59,Female,San Francisco,"['Electronics', 'Beauty', 'Clothing']",313.32,"['BrandB', 'BrandD', 'BrandC']",['view'],"[282, 103, 54, 233]","[146, 4]"
146,30,Male,Houston,"['Toys', 'Books', 'Clothing']",265.89,"['BrandC', 'BrandE', 'BrandD']","['view', 'add_to_cart']","[123, 128, 164, 72, 230, 404, 236]","[277, 74]"
147,49,Female,Chicago,"['Electronics', 'Books', 'Toys']",322.56,"['BrandE', 'BrandB', 'BrandA']","['view', 'add_to_cart']","[213, 115, 39, 150, 333, 400]",[]
148,56,Other,Los Angeles,"['Books', 'Toys', 'Electronics']",350.16,"['BrandC', 'BrandE', 'BrandA']","['view', 'add_to_cart']","[473, 75, 281, 383]",[]
149,49,Male,Los Angeles,"['Books', 'Sports', 'Beauty']",189.76,"['BrandA', 'BrandB', 'BrandC']","['add_to_cart', 'view']","[336, 464, 80, 68]","[396, 243, 54]"
150,21,Female,San Francisco,"['Home & Kitchen', 'Beauty', 'Books']",186.98,"['BrandD', 'BrandA', 'BrandB']","['view', 'add_to_cart']","[16, 204, 24, 242, 21, 154]","[459, 143]"
